R_main (m),D_small (m),Thrust (N),RPM_main,RPM_small,Torque (Nm),Created Moment (Nm),Power Required (W),STALL_FACTOR
0.9,0.14,59.986711196093864,485.693359375,10220.555961222815,4.287612702721425,4.301563611721651,277.0609409718364,"(0.0, 0.0, 0.0, 0.0)"
0.9500000000000001,0.14,60.491768417616704,446.142578125,10086.779964256311,4.499055246524534,54.92077608617215,2493.9388233513696,"(0.0, 0.0, 0.0, 0.0)"
1.0,0.14,66.30211826728916,431.494140625,10285.642869922971,5.1375333912263645,5.129664736715504,305.2839940988078,"(0.0, 0.0, 0.0, 0.0)"
1.05,0.14,41.8884179336077,315.2496337890625,7772.816200895236,3.4005961667338998,2.3180538786058804,104.74844408449204,"(0.0, 0.0, 0.0, 0.0)"
1.1,0.14,54.16147858247506,329.541015625,9013.644635808429,4.43268789234784,4.149786101966884,199.06230456857668,"(0.0, 0.0, 0.0, 0.0)"
0.9,0.14500000000000002,59.67250638209149,485.693359375,9782.337227693246,4.2779470611544195,4.245867097515744,276.39045180987137,"(0.0, 0.0, 0.0, 0.0)"
0.9500000000000001,0.14500000000000002,59.96549520086037,454.6875,9530.157463948504,4.482006478969554,5.109865058421373,269.5129585940689,"(0.0, 0.0, 0.05555555555555555, 0.0)"
1.0,0.14500000000000002,60.020775776562516,410.25390625,9536.90600018736,4.670414603368265,4.667190479702451,264.47168975191096,"(0.0, 0.0, 0.0, 0.0)"
1.05,0.14500000000000002,59.62753097214452,382.275390625,9119.35240786992,4.846549866010202,4.021080018448088,211.50137075515266,"(0.0, 0.0, 0.0, 0.0)"
1.1,0.14500000000000002,60.085125768036725,344.921875,9136.738367856316,4.863573263278066,4.856624625280629,241.43896497104723,"(0.0, 0.0, 0.0, 0.0)"
0.9,0.15000000000000002,60.00650003700815,486.9140625,9478.49623958672,4.31286507076462,4.315890995456898,279.96927065324815,"(0.0, 0.0, 0.0, 0.0)"
0.9500000000000001,0.15000000000000002,60.50394451291569,450.048828125,9391.605259939814,4.513878865061489,6.117356090718408,341.02628864647846,"(0.0, 0.0, 0.041666666666666664, 0.0)"
1.0,0.15000000000000002,59.524353356165676,408.544921875,9061.119532820565,4.620452743047073,4.848670387166473,274.5191345602937,"(0.0, 0.0, 0.0, 0.0)"
1.05,0.15000000000000002,60.01028260803099,371.875,9014.23162427875,4.851214265905102,4.846962217144006,258.977451048864,"(0.0, 0.0, 0.0, 0.0)"
1.1,0.15000000000000002,60.04334041769261,344.921875,8732.78352254175,4.861246873415893,4.846829099261194,239.12382418602542,"(0.0, 0.0, 0.0, 0.0)"
0.9,0.155,60.07456258304026,485.205078125,9047.86888690112,4.2781279516567965,4.356210285527401,281.7203729710481,"(0.0, 0.0, 0.0, 0.0)"
0.9500000000000001,0.155,59.936928371796675,449.8046875,8964.281998614031,4.501822336677025,4.505904042996962,273.74004906572407,"(0.0, 0.0, 0.0, 0.0)"
1.0,0.155,60.01723319151179,408.30078125,8614.011680447675,4.637651659413914,4.1229448616218995,227.20696289187345,"(0.0, 0.0, 0.0, 0.0)"
1.05,0.155,60.03283412857251,374.21875,8585.199969729627,4.775517319291412,4.64188104893137,242.92739991718648,"(0.0, 0.0, 0.0, 0.0)"
1.1,0.155,60.07704919555056,344.921875,8417.79881798624,4.8558571004342,5.164680700903665,259.31428216411365,"(0.0, 0.0, 0.0, 0.0)"
0.9,0.16,60.16220666349698,483.251953125,8342.41480075579,4.161792477601052,2.6436760441466975,169.34364036884742,"(0.0, 0.0, 0.0, 0.013888888888888888)"
0.9500000000000001,0.16,68.47835623297334,446.142578125,10015.769943057385,-0.5642671416719893,-7.899545409820699,188.74228319960565,"(0.004219409282700422, 0.0, 0.05555555555555555, 0.0)"
1.0,0.16,60.267186979755884,406.103515625,8306.394334174955,4.614599951643389,4.481495055323668,251.3262532947165,"(0.0, 0.0, 0.0, 0.0)"
1.05,0.16,60.02779465566279,374.8046875,8233.831926588973,4.75058653034244,4.708655649701853,247.22558708528666,"(0.0, 0.0, 0.0, 0.0)"
1.1,0.16,60.03836204892124,346.38671875,8082.237853001498,4.8729989219760705,4.878845817226256,239.95454645990978,"(0.0, 0.0, 0.0, 0.0)"    