DP, R, diagonal, NB, sigma, theta, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
DP0, 0.225, 1, 2.0, 0.08, 15.0, 59.94965034127658, 1.316343314859349, 353.31711326855947, 306.38437485729526, 659.7014881258547, 743.6001778345367, 0.09087390497115216, 1.127176747693915, 0.0, 0.0, 5473.6328125, 94.23489568834466
DP1, 0.225, 1, 2.0, 0.08, 20.0, 59.894107691355515, 1.4271216509069666, 351.1004327364109, 269.88390089955834, 620.9843336359693, 742.5670119286193, 0.09645027168506054, 1.1957902505861342, 0.0, 0.0, 5110.3515625, 94.14758815958061
DP2, 0.225, 1, 2.0, 0.1, 15.0, 60.00446152763461, 1.279541386216465, 370.20368625339256, 247.3704361055818, 617.5741223589744, 744.6202068666447, 0.09716155414419406, 1.205717953372766, 0.0, 0.0, 5078.125, 94.32105342904207
DP3, 0.225, 1, 2.0, 0.1, 20.0, 59.84633837225877, 1.4002867949378224, 367.1030358640616, 221.42119990164744, 588.524235765709, 741.6788232186273, 0.10168882560018062, 1.2602349710435525, 0.0, 0.0, 4700.1953125, 94.07249953476698
DP4, 0.225, 1, 3.0, 0.08, 15.0, 170.85879175765047, -110.83290207491751, -71807.64332503517, 518.9646496235871, -71288.67867541159, 3577.7953863005228, -0.002396717051463347, -0.05018742741173223, 0.46111111111111114, 0.4444444444444444, 7000, 268.5730496685319
DP5, 0.225, 1, 3.0, 0.08, 20.0, 74.06679211652096, -46.32486975480077, -36329.54699050871, 548.8416525123573, -35780.705337996355, 1021.162379301993, -0.002070020459822175, -0.028539470355761747, 0.6055555555555555, 0.25555555555555554, 7000, 116.42564033880626
DP6, 0.225, 1, 3.0, 0.1, 15.0, 337.261344773532, -174.4713195909896, -112130.30802552673, 296.0992416026732, -111834.20878392406, 9922.231473923714, -0.003015726122095234, -0.08872268675047858, 0.5444444444444444, 0.39444444444444443, 5875.0, 530.1413346620008
DP7, 0.225, 1, 3.0, 0.1, 20.0, 71.65489478356425, 1.2799579020422676, -171.39511132313723, 742.1502901443844, 570.7551788212471, 971.6912619587426, 0.12554401158750694, 1.702465957410197, 0.12222222222222222, 0.08888888888888889, 7000, 112.6343772991004
DP8, 0.225, 1, 2.0, 0.08, 15.0, 59.92421528766904, 1.2846531809349422, 334.33349938628635, 301.7714964626172, 636.1049958489036, 743.1269931534626, 0.09420491220588223, 1.1682458053355398, 0.0, 0.0, 5415.0390625, 94.19491431047358
DP9, 0.225, 1, 2.0, 0.08, 20.0, 59.8420818071581, 1.3941890720011125, 336.51696598439185, 267.27812445768467, 603.7950904420766, 741.5996968724393, 0.0991099178420678, 1.2282307501531144, 0.0, 0.0, 5075.1953125, 94.06580863722264
DP10, 0.225, 1, 2.0, 0.1, 15.0, 60.09731515820815, 1.2399229003091288, 336.4579865454558, 234.97316873882204, 571.4311552842778, 746.3492640603567, 0.10516982597546803, 1.3061053062272392, 0.0, 0.0, 4881.8359375, 94.46701011338584
DP11, 0.225, 1.5, 2, 0.1, 20.0, 60.00228328622451, 1.3526017085634514, 336.8070898513331, 211.38011477131025, 548.1872046226433, 744.5796611853362, 0.10945582600295897, 1.3582580091373786, 0.0, 0.0, 4556.640625, 94.31762944990463
DP12, 0.225, 1.5, 3, 0.08, 15.0, 59.99287820906268, 1.6280169699289386, 328.974193213278, 500.7752987903984, 829.7494920036763, 744.4046039784923, 0.07230239823852387, 0.8971437899659409, 0.0, 0.0, 5810.546875, 94.30284560278892
DP13, 0.225, 1.5, 3, 0.08, 20.0, 60.12988400397503, 1.7373856622924766, 335.88489463808037, 431.476326413552, 767.3612210516324, 746.9560555703862, 0.07835929462472688, 0.9734086569382776, 0.0, 0.0, 5456.0546875, 94.51820510394975
DP14, 0.225, 1.5, 3, 0.1, 15.0, 60.05023430490769, 1.579619059552908, 328.4153304883475, 419.0469682109441, 747.4622986992915, 745.4723893479552, 0.08033881362231254, 0.9973377796381181, 0.0, 0.0, 5221.6796875, 94.39300368842038
DP15, 0.225, 1.5, 3, 0.1, 20.0, 59.995041616912076, 1.6812140819691141, 330.5919240996001, 360.0382160171623, 690.6301401167624, 744.4448703900233, 0.08687000194745183, 1.077921201446787, 0.0, 0.0, 4884.765625, 94.3062462650423
DP16, 0.275, 1.0, 2, 0.08, 15.0, 74.89857304721716, 1.8675687598721389, 403.1632173202216, 289.90701210707795, 693.0702294272995, 849.6100542079449, 0.10806779726941616, 1.225864303694011, 0.0, 0.0, 4002.9296875, 78.81307855202651
DP17, 0.275, 1.0, 2, 0.08, 20.0, 88.49298576165046, 2.2997477368048336, 517.7199897219043, 289.9725464588397, 807.692536180744, 1091.1202110308163, 0.10956271328208443, 1.3509103553070934, 0.0, 0.0, 4002.9296875, 93.11799082927195
DP18, 0.275, 1.0, 2, 0.1, 15.0, 60.00020667994791, 1.5602542500816101, 300.39783208239743, 201.71191844139264, 502.10975052379007, 609.1699156533653, 0.11949619902293669, 1.2132206455220045, 0.0, 0.0, 3390.625, 63.13606267536573
DP19, 0.275, 1.0, 2, 0.1, 20.0, 60.047739162598226, 1.7118237086350532, 299.560483763958, 181.01196013892164, 480.5724439028796, 609.8939404677707, 0.12495044175844061, 1.2690988595072796, 0.0, 0.0, 3141.6015625, 63.186079399803596
DP20, 0.275, 1.0, 3, 0.08, 15.0, 340.4435554648095, -306.38728642399815, -7508.763856537109, 213.55880658555654, -7295.205049951553, 8233.358079452117, -0.046666756195848175, -1.1285985826411822, 0.5555555555555556, 0.40555555555555556, 4000, 358.2365269157306
DP21, 0.275, 1.0, 3, 0.08, 20.0, 174.88546259077322, -329.74663361934313, -144586.70907997264, 182.99754513050033, -144403.71153484215, 3031.3765927135655, -0.0012110870332344356, -0.02099237312180959, 0.4777777777777778, 0.4888888888888889, 4000, 184.02569154535072
DP22, 0.275, 1.0, 3, 0.1, 15.0, 59.02096618152741, -0.04381220745211072, -1188.7455719954316, 451.89618680401014, -736.8493851914216, 594.3178847911872, -0.08009909130370614, -0.8065663034200579, 0.2, 0.06666666666666667, 4000, 62.1056430667747
DP23, 0.275, 1.0, 3, 0.1, 20.0, 329.17087190378186, -271.577842740875, -84302.40786604548, 134.89287710287596, -84167.51498894261, 7827.830703645431, -0.003910901634045227, -0.09300299176794992, 0.4111111111111111, 0.49444444444444446, 3125.0, 346.37468684532865
DP24, 0.275, 1.5, 2, 0.08, 15.0, 60.064213694870546, 1.5683429978428194, 272.0030793250121, 246.44701396497385, 518.450093289986, 610.1449509141147, 0.11585341476884388, 1.1768634219780936, 0.0, 0.0, 3618.1640625, 63.2034149584566
DP25, 0.275, 1.5, 2, 0.08, 20.0, 60.0041631059687, 1.7025107622321851, 273.6536883470752, 218.33016143263575, 491.98384977971097, 609.2301698317134, 0.12196368464703865, 1.2383133513518791, 0.0, 0.0, 3392.578125, 63.14022588037853
DP26, 0.275, 1.5, 2, 0.1, 15.0, 59.97740457485029, 1.5092642256540039, 272.0274019129828, 191.42497136599357, 463.4523732789763, 608.8226909330812, 0.1294143865323282, 1.3136682991298414, 0.0, 0.0, 3260.7421875, 63.112068839073586
DP27, 0.275, 1.5, 2, 0.1, 20.0, 60.047528857447276, 1.649399805931665, 273.31530174435943, 172.4574120331568, 445.77271377751623, 609.8907364239542, 0.13470436166583497, 1.3681652500793235, 0.0, 0.0, 3043.9453125, 63.185858103246034
DP28, 0.275, 1.5, 3, 0.08, 15.0, 59.955961388703386, 1.983646238515204, 266.2105918073679, 407.54161752959783, 673.7522093369657, 608.4962197032838, 0.08898814810226088, 0.9031454164760367, 0.0, 0.0, 3881.8359375, 63.089504944389816
DP29, 0.275, 1.5, 3, 0.08, 20.0, 59.962896349692805, 2.1135029964093244, 270.505356798182, 350.28667533365353, 620.7920321318355, 608.6017976843242, 0.09659095678753603, 0.9803634167055119, 0.0, 0.0, 3643.5546875, 63.096802354780664
DP30, 0.275, 1.5, 3, 0.1, 15.0, 59.99189434476318, 1.9238846049350145, 265.75446599333736, 340.8758493225059, 606.6303153158433, 609.0433298608448, 0.09889366362036867, 1.0039777348478622, 0.0, 0.0, 3488.28125, 63.12731590357541
DP31, 0.275, 1.5, 3, 0.1, 20.0, 60.02277147714326, 2.0500925894703044, 267.86728753458834, 293.2838253228696, 561.151112857458, 609.5135916669743, 0.10696365043543997, 1.086184412186671, 0.0, 0.0, 3262.6953125, 63.15980680107486
