Filename,Cl/Cd Max,A_de,cl,cd
polar_filea18.txt,65.38556446637878,4.5,1.0599,0.01621
polar_filea18sm.txt,65.27641277641278,5.5,1.0627,0.01628
polar_fileag03.txt,46.655382532159784,4.5,0.6891,0.01477
polar_fileag04.txt,45.35895576504713,4.0,0.6255,0.01379
polar_fileag08.txt,45.61665357423409,3.5,0.5807,0.01273
polar_fileag09.txt,44.21367521367521,3.0,0.5173,0.0117
polar_fileag10.txt,41.22374429223745,2.5,0.4514,0.01095
polar_fileag11.txt,46.65248226950355,4.0,0.6578,0.0141
polar_fileag12.txt,47.074047447879224,4.0,0.6548,0.01391
polar_fileag13.txt,48.125904486251805,4.0,0.6651,0.01382
polar_fileag14.txt,48.68277474668746,3.5,0.6246,0.01283
polar_fileag16.txt,48.640973630831645,4.5,0.7194,0.01479
polar_fileag17.txt,49.54777534646244,4.0,0.6793,0.01371
polar_fileag18.txt,50.67193675889328,3.5,0.641,0.01265
polar_fileag19.txt,51.69193934557064,3.5,0.6477,0.01253
polar_fileag23.txt,52.65024038461539,5.5,0.8761,0.01664
polar_fileag24.txt,52.61616804583069,5.0,0.8266,0.01571
polar_fileag25.txt,53.575305291723204,4.5,0.7897,0.01474
polar_fileag26.txt,54.46735395189003,4.5,0.7925,0.01455
polar_fileag27.txt,54.95581737849779,4.0,0.7463,0.01358
polar_fileag35.txt,50.37535014005602,4.5,0.8992,0.01785
polar_fileag36.txt,50.19506597819851,4.5,0.8749,0.01743
polar_fileag37.txt,49.17721518987342,4.5,0.8547,0.01738
polar_fileag38.txt,49.126029132362255,4.0,0.7757,0.01579
polar_fileag44ct02r.txt,45.73193329215565,5.0,0.7404,0.01619
polar_fileag455ct02r.txt,44.650154798761605,5.0,0.7211,0.01615
polar_fileag45c03.txt,46.03358425014476,6.5,0.795,0.01727
polar_fileag45ct02r.txt,45.215490318550906,5.0,0.7239,0.01601
polar_fileag46c03.txt,44.501347708894876,5.5,0.6604,0.01484
polar_fileag46ct02r.txt,44.52817379497624,4.5,0.6559,0.01473
polar_fileag47c03.txt,42.02724358974359,4.5,0.5245,0.01248
polar_fileag47ct02r.txt,41.86234817813765,3.5,0.517,0.01235
polar_fileag52.txt,49.632063074901446,5.0,0.7554,0.01522
polar_fileag53.txt,49.29457870672763,5.0,0.7547,0.01531
polar_fileag54.txt,48.56314432989691,5.0,0.7537,0.01552
polar_fileag55.txt,47.89938817131203,4.5,0.7046,0.01471
polar_fileah21-7.txt,55.41466758053461,5.0,0.8085,0.01459
polar_fileah21-9.txt,46.64454277286136,4.0,0.6325,0.01356
polar_fileah63k127.txt,43.381568926123386,9.0,1.1392,0.02626
polar_fileah79k132.txt,47.68446799836934,9.0,1.1697,0.02453
polar_fileah79k135.txt,48.06726457399103,8.5,1.0719,0.0223
polar_fileah79k143.txt,39.095238095238095,9.0,0.9852,0.0252
polar_fileah80129.txt,32.62459546925566,9.0,1.0081,0.0309
polar_fileah80136.txt,31.274406332453825,10.5,1.1853,0.0379
polar_fileah80140.txt,22.50210757039285,14.0,1.3346,0.05931
polar_fileah81131.txt,36.61434977578475,8.5,0.9798,0.02676
polar_fileah81k144.txt,29.905138339920953,10.5,1.1349,0.03795
polar_fileah81k144wfKlappe.txt,-0.29195524773574855,0.5,-0.0274,0.09385
polar_fileah82150a.txt,41.79888268156425,9.5,1.1223,0.02685
polar_fileah82150f.txt,33.54905335628227,9.5,0.9746,0.02905
polar_fileah83150q.txt,39.52830188679245,11.0,1.2989,0.03286
polar_fileah83159.txt,15.762536618990177,10.0,0.9147,0.05803
polar_fileah85l120.txt,37.43930635838151,4.0,0.6477,0.0173
polar_fileah88k130.txt,40.24078803356439,8.5,1.103,0.02741
polar_fileah88k136.txt,40.20606531881804,8.5,1.0341,0.02572
polar_fileah93156.txt,38.48869619077114,11.5,1.2428,0.03229
polar_fileah93157.txt,13.985626283367557,7.0,0.6811,0.0487
polar_fileah93k130.txt,42.38726790450929,9.0,1.1186,0.02639
polar_fileah93k131.txt,42.2821270310192,9.5,1.145,0.02708
polar_fileah93k132.txt,42.43386243386243,9.5,1.1228,0.02646
polar_fileah93w145.txt,21.380789022298455,0.5,0.4986,0.02332
polar_fileah93w174.txt,12.080333854981742,15.0,1.1579,0.09585
polar_fileah93w215.txt,5.962490231831206,8.0,0.4578,0.07678
polar_fileah93w257.txt,9.723669519910679,15.0,1.0451,0.10748
polar_fileah93w300.txt,17.865418894830658,6.0,0.8018,0.04488
polar_fileah93w480b.txt,19.15650520192415,9.0,1.7124,0.08939
polar_fileah94145.txt,27.299351251158484,12.5,1.4728,0.05395
polar_fileah94156.txt,39.18788269416694,11.0,1.216,0.03103
polar_fileah94w301.txt,7.126158806932689,1.0,0.5304,0.07443
polar_fileah95160.txt,23.899657924743444,13.5,1.4672,0.06139
polar_fileapex16.txt,55.44538706256629,7.5,1.0457,0.01886
polar_fileaquilasm.txt,51.38447971781305,7.5,1.1654,0.02268
polar_fileas5045.txt,43.78365149290259,7.5,0.8945,0.02043
polar_fileas5046.txt,42.24401913875599,7.5,0.8829,0.0209
polar_fileas5048.txt,41.111111111111114,8.5,0.9583,0.02331
polar_fileatr72sm.txt,33.33915320820603,4.0,0.7638,0.02291
polar_fileaugust160.txt,20.757870190439178,0.0,0.5341,0.02573
polar_fileavistar.txt,49.14646996838778,6.5,0.9328,0.01898
polar_filebambino6.txt,41.971496437054626,2.5,0.7068,0.01684
polar_filebe50.txt,60.14373716632444,3.0,0.8787,0.01461
polar_filebe50sm.txt,60.38705137227304,3.5,0.8581,0.01421
polar_filebw3.txt,59.04571428571428,4.0,1.0333,0.0175
